Date,Hora,Zone,Demand
01/01/2010,1,GERENCIA,1329
01/01/2010,2,GERENCIA,1279
01/01/2010,3,GERENCIA,1234
01/01/2010,4,GERENCIA,1179
01/01/2010,5,GERENCIA,1133
01/01/2010,6,GERENCIA,1104
01/01/2010,7,GERENCIA,1085
01/01/2010,8,GERENCIA,1067
01/01/2010,9,GERENCIA,1008
01/01/2010,10,GERENCIA,1020
01/01/2010,11,GERENCIA,1049
01/01/2010,12,GERENCIA,1080
01/01/2010,13,GERENCIA,1095
01/01/2010,14,GERENCIA,1099
01/01/2010,15,GERENCIA,1095
01/01/2010,16,GERENCIA,1086
01/01/2010,17,GERENCIA,1088
01/01/2010,18,GERENCIA,1092
01/01/2010,19,GERENCIA,1171
01/01/2010,20,GERENCIA,1373
01/01/2010,21,GERENCIA,1398
01/01/2010,22,GERENCIA,1381
01/01/2010,23,GERENCIA,1329
01/01/2010,24,GERENCIA,1259
02/01/2010,1,GERENCIA,1181
02/01/2010,2,GERENCIA,1107
02/01/2010,3,GERENCIA,1066
02/01/2010,4,GERENCIA,1043
02/01/2010,5,GERENCIA,1027
02/01/2010,6,GERENCIA,1026
02/01/2010,7,GERENCIA,1053
02/01/2010,8,GERENCIA,1087
02/01/2010,9,GERENCIA,1106
02/01/2010,10,GERENCIA,1188
02/01/2010,11,GERENCIA,1273
02/01/2010,12,GERENCIA,1329
02/01/2010,13,GERENCIA,1359
02/01/2010,14,GERENCIA,1359
02/01/2010,15,GERENCIA,1359
02/01/2010,16,GERENCIA,1358
02/01/2010,17,GERENCIA,1346
02/01/2010,18,GERENCIA,1336
02/01/2010,19,GERENCIA,1397
02/01/2010,20,GERENCIA,1593
02/01/2010,21,GERENCIA,1578
02/01/2010,22,GERENCIA,1535
02/01/2010,23,GERENCIA,1485
02/01/2010,24,GERENCIA,1407
03/01/2010,1,GERENCIA,1299
03/01/2010,2,GERENCIA,1214
03/01/2010,3,GERENCIA,1159
03/01/2010,4,GERENCIA,1128
03/01/2010,5,GERENCIA,1113
03/01/2010,6,GERENCIA,1110
03/01/2010,7,GERENCIA,1120
03/01/2010,8,GERENCIA,1135
03/01/2010,9,GERENCIA,1117
03/01/2010,10,GERENCIA,1163
03/01/2010,11,GERENCIA,1211
03/01/2010,12,GERENCIA,1250
03/01/2010,13,GERENCIA,1282
03/01/2010,14,GERENCIA,1290
03/01/2010,15,GERENCIA,1302
03/01/2010,16,GERENCIA,1302
03/01/2010,17,GERENCIA,1290
03/01/2010,18,GERENCIA,1284
03/01/2010,19,GERENCIA,1360
03/01/2010,20,GERENCIA,1577
03/01/2010,21,GERENCIA,1605
03/01/2010,22,GERENCIA,1575
03/01/2010,23,GERENCIA,1498
03/01/2010,24,GERENCIA,1379
04/01/2010,1,GERENCIA,1264
04/01/2010,2,GERENCIA,1189
04/01/2010,3,GERENCIA,1152
04/01/2010,4,GERENCIA,1126
04/01/2010,5,GERENCIA,1118
04/01/2010,6,GERENCIA,1136
04/01/2010,7,GERENCIA,1191
04/01/2010,8,GERENCIA,1291
04/01/2010,9,GERENCIA,1337
04/01/2010,10,GERENCIA,1381
04/01/2010,11,GERENCIA,1437
04/01/2010,12,GERENCIA,1486
04/01/2010,13,GERENCIA,1518
04/01/2010,14,GERENCIA,1517
04/01/2010,15,GERENCIA,1516
04/01/2010,16,GERENCIA,1526
04/01/2010,17,GERENCIA,1516
04/01/2010,18,GERENCIA,1505
04/01/2010,19,GERENCIA,1548
04/01/2010,20,GERENCIA,1699
04/01/2010,21,GERENCIA,1701
04/01/2010,22,GERENCIA,1651
04/01/2010,23,GERENCIA,1564
04/01/2010,24,GERENCIA,1460
05/01/2010,1,GERENCIA,1351
05/01/2010,2,GERENCIA,1276
05/01/2010,3,GERENCIA,1231
05/01/2010,4,GERENCIA,1203
05/01/2010,5,GERENCIA,1193
05/01/2010,6,GERENCIA,1204
05/01/2010,7,GERENCIA,1246
05/01/2010,8,GERENCIA,1344
05/01/2010,9,GERENCIA,1382
05/01/2010,10,GERENCIA,1417
05/01/2010,11,GERENCIA,1466
05/01/2010,12,GERENCIA,1516
05/01/2010,13,GERENCIA,1546
05/01/2010,14,GERENCIA,1544
05/01/2010,15,GERENCIA,1550
05/01/2010,16,GERENCIA,1553
05/01/2010,17,GERENCIA,1551
05/01/2010,18,GERENCIA,1536
05/01/2010,19,GERENCIA,1578
05/01/2010,20,GERENCIA,1734
05/01/2010,21,GERENCIA,1741
05/01/2010,22,GERENCIA,1695
05/01/2010,23,GERENCIA,1593
05/01/2010,24,GERENCIA,1481
06/01/2010,1,GERENCIA,1369
06/01/2010,2,GERENCIA,1295
06/01/2010,3,GERENCIA,1246
06/01/2010,4,GERENCIA,1216
06/01/2010,5,GERENCIA,1201
06/01/2010,6,GERENCIA,1212
06/01/2010,7,GERENCIA,1262
06/01/2010,8,GERENCIA,1361
06/01/2010,9,GERENCIA,1399
06/01/2010,10,GERENCIA,1428
06/01/2010,11,GERENCIA,1469
06/01/2010,12,GERENCIA,1507
06/01/2010,13,GERENCIA,1536
06/01/2010,14,GERENCIA,1536
06/01/2010,15,GERENCIA,1543
06/01/2010,16,GERENCIA,1545
06/01/2010,17,GERENCIA,1547
06/01/2010,18,GERENCIA,1533
06/01/2010,19,GERENCIA,1564
06/01/2010,20,GERENCIA,1724
06/01/2010,21,GERENCIA,1717
06/01/2010,22,GERENCIA,1662
06/01/2010,23,GERENCIA,1579
06/01/2010,24,GERENCIA,1479
07/01/2010,1,GERENCIA,1373
07/01/2010,2,GERENCIA,1296
07/01/2010,3,GERENCIA,1258
07/01/2010,4,GERENCIA,1230
07/01/2010,5,GERENCIA,1218
07/01/2010,6,GERENCIA,1227
07/01/2010,7,GERENCIA,1278
07/01/2010,8,GERENCIA,1373
07/01/2010,9,GERENCIA,1406
07/01/2010,10,GERENCIA,1444
07/01/2010,11,GERENCIA,1485
07/01/2010,12,GERENCIA,1525
07/01/2010,13,GERENCIA,1551
07/01/2010,14,GERENCIA,1552
07/01/2010,15,GERENCIA,1550
07/01/2010,16,GERENCIA,1559
07/01/2010,17,GERENCIA,1559
07/01/2010,18,GERENCIA,1545
07/01/2010,19,GERENCIA,1585
07/01/2010,20,GERENCIA,1742
07/01/2010,21,GERENCIA,1743
07/01/2010,22,GERENCIA,1677
07/01/2010,23,GERENCIA,1576
07/01/2010,24,GERENCIA,1471
08/01/2010,1,GERENCIA,1381
08/01/2010,2,GERENCIA,1309
08/01/2010,3,GERENCIA,1267
08/01/2010,4,GERENCIA,1238
08/01/2010,5,GERENCIA,1227
08/01/2010,6,GERENCIA,1230
08/01/2010,7,GERENCIA,1273
08/01/2010,8,GERENCIA,1374
08/01/2010,9,GERENCIA,1426
08/01/2010,10,GERENCIA,1462
08/01/2010,11,GERENCIA,1512
08/01/2010,12,GERENCIA,1553
08/01/2010,13,GERENCIA,1589
08/01/2010,14,GERENCIA,1587
08/01/2010,15,GERENCIA,1592
08/01/2010,16,GERENCIA,1595
08/01/2010,17,GERENCIA,1591
08/01/2010,18,GERENCIA,1578
08/01/2010,19,GERENCIA,1592
08/01/2010,20,GERENCIA,1742
08/01/2010,21,GERENCIA,1745
08/01/2010,22,GERENCIA,1667
08/01/2010,23,GERENCIA,1578
08/01/2010,24,GERENCIA,1489
09/01/2010,1,GERENCIA,1394
09/01/2010,2,GERENCIA,1324
09/01/2010,3,GERENCIA,1274
09/01/2010,4,GERENCIA,1246
09/01/2010,5,GERENCIA,1234
09/01/2010,6,GERENCIA,1231
09/01/2010,7,GERENCIA,1260
09/01/2010,8,GERENCIA,1306
09/01/2010,9,GERENCIA,1338
09/01/2010,10,GERENCIA,1408
09/01/2010,11,GERENCIA,1465
09/01/2010,12,GERENCIA,1517
09/01/2010,13,GERENCIA,1544
09/01/2010,14,GERENCIA,1539
09/01/2010,15,GERENCIA,1530
09/01/2010,16,GERENCIA,1512
09/01/2010,17,GERENCIA,1494
09/01/2010,18,GERENCIA,1476
09/01/2010,19,GERENCIA,1531
09/01/2010,20,GERENCIA,1727
09/01/2010,21,GERENCIA,1686
09/01/2010,22,GERENCIA,1622
09/01/2010,23,GERENCIA,1566
09/01/2010,24,GERENCIA,1480
10/01/2010,1,GERENCIA,1364
10/01/2010,2,GERENCIA,1277
10/01/2010,3,GERENCIA,1229
10/01/2010,4,GERENCIA,1198
10/01/2010,5,GERENCIA,1180
10/01/2010,6,GERENCIA,1172
10/01/2010,7,GERENCIA,1181
10/01/2010,8,GERENCIA,1188
10/01/2010,9,GERENCIA,1181
10/01/2010,10,GERENCIA,1243
10/01/2010,11,GERENCIA,1307
10/01/2010,12,GERENCIA,1339
10/01/2010,13,GERENCIA,1354
10/01/2010,14,GERENCIA,1363
10/01/2010,15,GERENCIA,1361
10/01/2010,16,GERENCIA,1357
10/01/2010,17,GERENCIA,1350
10/01/2010,18,GERENCIA,1346
10/01/2010,19,GERENCIA,1410
10/01/2010,20,GERENCIA,1616
10/01/2010,21,GERENCIA,1647
10/01/2010,22,GERENCIA,1603
10/01/2010,23,GERENCIA,1527
10/01/2010,24,GERENCIA,1403
11/01/2010,1,GERENCIA,1289
11/01/2010,2,GERENCIA,1213
11/01/2010,3,GERENCIA,1178
11/01/2010,4,GERENCIA,1160
11/01/2010,5,GERENCIA,1152
11/01/2010,6,GERENCIA,1171
11/01/2010,7,GERENCIA,1235
11/01/2010,8,GERENCIA,1350
11/01/2010,9,GERENCIA,1399
11/01/2010,10,GERENCIA,1435
11/01/2010,11,GERENCIA,1487
11/01/2010,12,GERENCIA,1534
11/01/2010,13,GERENCIA,1566
11/01/2010,14,GERENCIA,1566
11/01/2010,15,GERENCIA,1568
11/01/2010,16,GERENCIA,1578
11/01/2010,17,GERENCIA,1577
11/01/2010,18,GERENCIA,1568
11/01/2010,19,GERENCIA,1580
11/01/2010,20,GERENCIA,1730
11/01/2010,21,GERENCIA,1744
11/01/2010,22,GERENCIA,1680
11/01/2010,23,GERENCIA,1581
11/01/2010,24,GERENCIA,1474
12/01/2010,1,GERENCIA,1363
12/01/2010,2,GERENCIA,1287
12/01/2010,3,GERENCIA,1238
12/01/2010,4,GERENCIA,1211
12/01/2010,5,GERENCIA,1203
12/01/2010,6,GERENCIA,1216
12/01/2010,7,GERENCIA,1274
12/01/2010,8,GERENCIA,1384
12/01/2010,9,GERENCIA,1426
12/01/2010,10,GERENCIA,1453
12/01/2010,11,GERENCIA,1504
12/01/2010,12,GERENCIA,1548
12/01/2010,13,GERENCIA,1579
12/01/2010,14,GERENCIA,1591
12/01/2010,15,GERENCIA,1595
12/01/2010,16,GERENCIA,1601
12/01/2010,17,GERENCIA,1599
12/01/2010,18,GERENCIA,1586
12/01/2010,19,GERENCIA,1601
12/01/2010,20,GERENCIA,1750
12/01/2010,21,GERENCIA,1759
12/01/2010,22,GERENCIA,1691
12/01/2010,23,GERENCIA,1593
12/01/2010,24,GERENCIA,1479
13/01/2010,1,GERENCIA,1375
13/01/2010,2,GERENCIA,1292
13/01/2010,3,GERENCIA,1251
13/01/2010,4,GERENCIA,1227
13/01/2010,5,GERENCIA,1219
13/01/2010,6,GERENCIA,1232
13/01/2010,7,GERENCIA,1290
13/01/2010,8,GERENCIA,1400
13/01/2010,9,GERENCIA,1438
13/01/2010,10,GERENCIA,1471
13/01/2010,11,GERENCIA,1518
13/01/2010,12,GERENCIA,1547
13/01/2010,13,GERENCIA,1583
13/01/2010,14,GERENCIA,1583
13/01/2010,15,GERENCIA,1585
13/01/2010,16,GERENCIA,1587
13/01/2010,17,GERENCIA,1576
13/01/2010,18,GERENCIA,1564
13/01/2010,19,GERENCIA,1578
13/01/2010,20,GERENCIA,1732
13/01/2010,21,GERENCIA,1741
13/01/2010,22,GERENCIA,1690
13/01/2010,23,GERENCIA,1595
13/01/2010,24,GERENCIA,1488
14/01/2010,1,GERENCIA,1378
14/01/2010,2,GERENCIA,1306
14/01/2010,3,GERENCIA,1258
14/01/2010,4,GERENCIA,1235
14/01/2010,5,GERENCIA,1221
14/01/2010,6,GERENCIA,1232
14/01/2010,7,GERENCIA,1284
14/01/2010,8,GERENCIA,1387
14/01/2010,9,GERENCIA,1424
14/01/2010,10,GERENCIA,1458
14/01/2010,11,GERENCIA,1495
14/01/2010,12,GERENCIA,1535
14/01/2010,13,GERENCIA,1569
14/01/2010,14,GERENCIA,1570
14/01/2010,15,GERENCIA,1559
14/01/2010,16,GERENCIA,1549
14/01/2010,17,GERENCIA,1539
14/01/2010,18,GERENCIA,1523
14/01/2010,19,GERENCIA,1541
14/01/2010,20,GERENCIA,1701
14/01/2010,21,GERENCIA,1719
14/01/2010,22,GERENCIA,1662
14/01/2010,23,GERENCIA,1566
14/01/2010,24,GERENCIA,1455
15/01/2010,1,GERENCIA,1360
15/01/2010,2,GERENCIA,1286
15/01/2010,3,GERENCIA,1244
15/01/2010,4,GERENCIA,1227
15/01/2010,5,GERENCIA,1220
15/01/2010,6,GERENCIA,1231
15/01/2010,7,GERENCIA,1286
15/01/2010,8,GERENCIA,1393
15/01/2010,9,GERENCIA,1420
15/01/2010,10,GERENCIA,1451
15/01/2010,11,GERENCIA,1505
15/01/2010,12,GERENCIA,1547
15/01/2010,13,GERENCIA,1574
15/01/2010,14,GERENCIA,1575
15/01/2010,15,GERENCIA,1569
15/01/2010,16,GERENCIA,1571
15/01/2010,17,GERENCIA,1554
15/01/2010,18,GERENCIA,1540
15/01/2010,19,GERENCIA,1543
15/01/2010,20,GERENCIA,1697
15/01/2010,21,GERENCIA,1704
15/01/2010,22,GERENCIA,1645
15/01/2010,23,GERENCIA,1553
15/01/2010,24,GERENCIA,1470
16/01/2010,1,GERENCIA,1386
16/01/2010,2,GERENCIA,1300
16/01/2010,3,GERENCIA,1249
16/01/2010,4,GERENCIA,1226
16/01/2010,5,GERENCIA,1215
16/01/2010,6,GERENCIA,1213
16/01/2010,7,GERENCIA,1239
16/01/2010,8,GERENCIA,1286
16/01/2010,9,GERENCIA,1312
16/01/2010,10,GERENCIA,1385
16/01/2010,11,GERENCIA,1458
16/01/2010,12,GERENCIA,1507
16/01/2010,13,GERENCIA,1527
16/01/2010,14,GERENCIA,1524
16/01/2010,15,GERENCIA,1508
16/01/2010,16,GERENCIA,1492
16/01/2010,17,GERENCIA,1470
16/01/2010,18,GERENCIA,1454
16/01/2010,19,GERENCIA,1496
16/01/2010,20,GERENCIA,1665
16/01/2010,21,GERENCIA,1638
16/01/2010,22,GERENCIA,1585
16/01/2010,23,GERENCIA,1529
16/01/2010,24,GERENCIA,1453
17/01/2010,1,GERENCIA,1345
17/01/2010,2,GERENCIA,1262
17/01/2010,3,GERENCIA,1214
17/01/2010,4,GERENCIA,1185
17/01/2010,5,GERENCIA,1163
17/01/2010,6,GERENCIA,1159
17/01/2010,7,GERENCIA,1170
17/01/2010,8,GERENCIA,1190
17/01/2010,9,GERENCIA,1176
17/01/2010,10,GERENCIA,1236
17/01/2010,11,GERENCIA,1300
17/01/2010,12,GERENCIA,1324
17/01/2010,13,GERENCIA,1335
17/01/2010,14,GERENCIA,1333
17/01/2010,15,GERENCIA,1337
17/01/2010,16,GERENCIA,1334
17/01/2010,17,GERENCIA,1323
17/01/2010,18,GERENCIA,1312
17/01/2010,19,GERENCIA,1347
17/01/2010,20,GERENCIA,1563
17/01/2010,21,GERENCIA,1609
17/01/2010,22,GERENCIA,1576
17/01/2010,23,GERENCIA,1504
17/01/2010,24,GERENCIA,1383
18/01/2010,1,GERENCIA,1273
18/01/2010,2,GERENCIA,1187
18/01/2010,3,GERENCIA,1154
18/01/2010,4,GERENCIA,1140
18/01/2010,5,GERENCIA,1139
18/01/2010,6,GERENCIA,1154
18/01/2010,7,GERENCIA,1228
18/01/2010,8,GERENCIA,1350
18/01/2010,9,GERENCIA,1393
18/01/2010,10,GERENCIA,1437
18/01/2010,11,GERENCIA,1490
18/01/2010,12,GERENCIA,1545
18/01/2010,13,GERENCIA,1579
18/01/2010,14,GERENCIA,1582
18/01/2010,15,GERENCIA,1580
18/01/2010,16,GERENCIA,1587
18/01/2010,17,GERENCIA,1579
18/01/2010,18,GERENCIA,1569
18/01/2010,19,GERENCIA,1574
18/01/2010,20,GERENCIA,1726
18/01/2010,21,GERENCIA,1756
18/01/2010,22,GERENCIA,1701
18/01/2010,23,GERENCIA,1611
18/01/2010,24,GERENCIA,1503
19/01/2010,1,GERENCIA,1382
19/01/2010,2,GERENCIA,1307
19/01/2010,3,GERENCIA,1267
19/01/2010,4,GERENCIA,1245
19/01/2010,5,GERENCIA,1236
19/01/2010,6,GERENCIA,1244
19/01/2010,7,GERENCIA,1305
19/01/2010,8,GERENCIA,1416
19/01/2010,9,GERENCIA,1455
19/01/2010,10,GERENCIA,1482
19/01/2010,11,GERENCIA,1527
19/01/2010,12,GERENCIA,1563
19/01/2010,13,GERENCIA,1598
19/01/2010,14,GERENCIA,1601
19/01/2010,15,GERENCIA,1604
19/01/2010,16,GERENCIA,1611
19/01/2010,17,GERENCIA,1613
19/01/2010,18,GERENCIA,1596
19/01/2010,19,GERENCIA,1596
19/01/2010,20,GERENCIA,1740
19/01/2010,21,GERENCIA,1763
19/01/2010,22,GERENCIA,1706
19/01/2010,23,GERENCIA,1607
19/01/2010,24,GERENCIA,1499
20/01/2010,1,GERENCIA,1400
20/01/2010,2,GERENCIA,1318
20/01/2010,3,GERENCIA,1275
20/01/2010,4,GERENCIA,1246
20/01/2010,5,GERENCIA,1239
20/01/2010,6,GERENCIA,1247
20/01/2010,7,GERENCIA,1305
20/01/2010,8,GERENCIA,1408
20/01/2010,9,GERENCIA,1444
20/01/2010,10,GERENCIA,1474
20/01/2010,11,GERENCIA,1522
20/01/2010,12,GERENCIA,1557
20/01/2010,13,GERENCIA,1578
20/01/2010,14,GERENCIA,1574
20/01/2010,15,GERENCIA,1572
20/01/2010,16,GERENCIA,1578
20/01/2010,17,GERENCIA,1576
20/01/2010,18,GERENCIA,1561
20/01/2010,19,GERENCIA,1561
20/01/2010,20,GERENCIA,1701
20/01/2010,21,GERENCIA,1724
20/01/2010,22,GERENCIA,1670
20/01/2010,23,GERENCIA,1574
20/01/2010,24,GERENCIA,1460
21/01/2010,1,GERENCIA,1353
21/01/2010,2,GERENCIA,1281
21/01/2010,3,GERENCIA,1242
21/01/2010,4,GERENCIA,1213
21/01/2010,5,GERENCIA,1205
21/01/2010,6,GERENCIA,1214
21/01/2010,7,GERENCIA,1273
21/01/2010,8,GERENCIA,1376
21/01/2010,9,GERENCIA,1416
21/01/2010,10,GERENCIA,1456
21/01/2010,11,GERENCIA,1510
21/01/2010,12,GERENCIA,1543
21/01/2010,13,GERENCIA,1564
21/01/2010,14,GERENCIA,1569
21/01/2010,15,GERENCIA,1556
21/01/2010,16,GERENCIA,1554
21/01/2010,17,GERENCIA,1541
21/01/2010,18,GERENCIA,1540
21/01/2010,19,GERENCIA,1552
21/01/2010,20,GERENCIA,1672
21/01/2010,21,GERENCIA,1684
21/01/2010,22,GERENCIA,1630
21/01/2010,23,GERENCIA,1539
21/01/2010,24,GERENCIA,1423
22/01/2010,1,GERENCIA,1316
22/01/2010,2,GERENCIA,1239
22/01/2010,3,GERENCIA,1204
22/01/2010,4,GERENCIA,1168
22/01/2010,5,GERENCIA,1151
22/01/2010,6,GERENCIA,1158
22/01/2010,7,GERENCIA,1195
22/01/2010,8,GERENCIA,1287
22/01/2010,9,GERENCIA,1330
22/01/2010,10,GERENCIA,1371
22/01/2010,11,GERENCIA,1432
22/01/2010,12,GERENCIA,1458
22/01/2010,13,GERENCIA,1461
22/01/2010,14,GERENCIA,1467
22/01/2010,15,GERENCIA,1465
22/01/2010,16,GERENCIA,1470
22/01/2010,17,GERENCIA,1456
22/01/2010,18,GERENCIA,1453
22/01/2010,19,GERENCIA,1463
22/01/2010,20,GERENCIA,1589
22/01/2010,21,GERENCIA,1603
22/01/2010,22,GERENCIA,1553
22/01/2010,23,GERENCIA,1469
22/01/2010,24,GERENCIA,1377
23/01/2010,1,GERENCIA,1284
23/01/2010,2,GERENCIA,1208
23/01/2010,3,GERENCIA,1163
23/01/2010,4,GERENCIA,1146
23/01/2010,5,GERENCIA,1131
23/01/2010,6,GERENCIA,1135
23/01/2010,7,GERENCIA,1167
23/01/2010,8,GERENCIA,1205
23/01/2010,9,GERENCIA,1233
23/01/2010,10,GERENCIA,1302
23/01/2010,11,GERENCIA,1364
23/01/2010,12,GERENCIA,1394
23/01/2010,13,GERENCIA,1413
23/01/2010,14,GERENCIA,1408
23/01/2010,15,GERENCIA,1396
23/01/2010,16,GERENCIA,1383
23/01/2010,17,GERENCIA,1365
23/01/2010,18,GERENCIA,1357
23/01/2010,19,GERENCIA,1377
23/01/2010,20,GERENCIA,1553
23/01/2010,21,GERENCIA,1549
23/01/2010,22,GERENCIA,1504
23/01/2010,23,GERENCIA,1447
23/01/2010,24,GERENCIA,1371
24/01/2010,1,GERENCIA,1273
24/01/2010,2,GERENCIA,1194
24/01/2010,3,GERENCIA,1143
24/01/2010,4,GERENCIA,1109
24/01/2010,5,GERENCIA,1094
24/01/2010,6,GERENCIA,1089
24/01/2010,7,GERENCIA,1100
24/01/2010,8,GERENCIA,1113
24/01/2010,9,GERENCIA,1101
24/01/2010,10,GERENCIA,1155
24/01/2010,11,GERENCIA,1210
24/01/2010,12,GERENCIA,1245
24/01/2010,13,GERENCIA,1261
24/01/2010,14,GERENCIA,1252
24/01/2010,15,GERENCIA,1232
24/01/2010,16,GERENCIA,1226
24/01/2010,17,GERENCIA,1219
24/01/2010,18,GERENCIA,1211
24/01/2010,19,GERENCIA,1240
24/01/2010,20,GERENCIA,1444
24/01/2010,21,GERENCIA,1503
24/01/2010,22,GERENCIA,1477
24/01/2010,23,GERENCIA,1401
24/01/2010,24,GERENCIA,1292
25/01/2010,1,GERENCIA,1183
25/01/2010,2,GERENCIA,1117
25/01/2010,3,GERENCIA,1082
25/01/2010,4,GERENCIA,1065
25/01/2010,5,GERENCIA,1062
25/01/2010,6,GERENCIA,1079
25/01/2010,7,GERENCIA,1148
25/01/2010,8,GERENCIA,1262
25/01/2010,9,GERENCIA,1300
25/01/2010,10,GERENCIA,1342
25/01/2010,11,GERENCIA,1400
25/01/2010,12,GERENCIA,1441
25/01/2010,13,GERENCIA,1470
25/01/2010,14,GERENCIA,1467
25/01/2010,15,GERENCIA,1468
25/01/2010,16,GERENCIA,1480
25/01/2010,17,GERENCIA,1478
25/01/2010,18,GERENCIA,1459
25/01/2010,19,GERENCIA,1453
25/01/2010,20,GERENCIA,1605
25/01/2010,21,GERENCIA,1651
25/01/2010,22,GERENCIA,1610
25/01/2010,23,GERENCIA,1524
25/01/2010,24,GERENCIA,1413
26/01/2010,1,GERENCIA,1302
26/01/2010,2,GERENCIA,1224
26/01/2010,3,GERENCIA,1185
26/01/2010,4,GERENCIA,1161
26/01/2010,5,GERENCIA,1153
26/01/2010,6,GERENCIA,1166
26/01/2010,7,GERENCIA,1227
26/01/2010,8,GERENCIA,1330
26/01/2010,9,GERENCIA,1354
26/01/2010,10,GERENCIA,1379
26/01/2010,11,GERENCIA,1428
26/01/2010,12,GERENCIA,1477
26/01/2010,13,GERENCIA,1499
26/01/2010,14,GERENCIA,1497
26/01/2010,15,GERENCIA,1500
26/01/2010,16,GERENCIA,1502
26/01/2010,17,GERENCIA,1505
