Date,Hora,Zone,Demand, temperatura, temperatura_aparente, precipitacion, humedad, velocidad_viento, radiacion_solar, nubosidad
01/01/2016,1,GSV,,15.6,15.2,0,68.1,2.2,0,1.7
01/01/2016,2,GSV,59.197,15.4,15.1,0,69.1,2.1,0,1
01/01/2016,3,GSV,56.661,15.2,14.9,0,70,2,0,0.3
01/01/2016,4,GSV,53.827,15.1,14.9,0,70.4,2.1,0,0
01/01/2016,5,GSV,51.571,15,14.8,0,70.8,2.1,0,0
01/01/2016,6,GSV,50.269,14.9,14.7,0,71.1,2.1,0,0
01/01/2016,7,GSV,50.377,15.1,14.7,0,69,2.2,0,0
01/01/2016,8,GSV,51.164,15.7,15.1,0,65.2,2.4,0,0
01/01/2016,9,GSV,49.014,16.2,16.3,0,62.3,2.6,99.2,0
01/01/2016,10,GSV,51.218,18.3,19.3,0,55.5,2.3,232.1,0
01/01/2016,11,GSV,53.501,20.4,22.3,0,49.6,2,354.9,0
01/01/2016,12,GSV,55.799,22.5,25.4,0,44.6,1.6,475,0
01/01/2016,13,GSV,56.872,24,27.6,0,41.8,1.6,555.3,0
01/01/2016,14,GSV,56.944,25.3,29,0,39.4,1.5,562.8,0
01/01/2016,15,GSV,56.481,26.6,29.6,0,37.4,1.4,493,0
01/01/2016,16,GSV,55.311,24.8,26.9,0,42.9,1.4,368.7,0
01/01/2016,17,GSV,54.824,23,23.6,0,49.3,1.5,189,0
01/01/2016,18,GSV,55.466,21.1,20.8,0,56.8,1.6,38.3,0
01/01/2016,19,GSV,60.289,19.7,19,0,59.9,1.8,0,0
01/01/2016,20,GSV,68.337,18.5,17.9,0,62.4,2,0,0
01/01/2016,21,GSV,69.36,17.4,16.9,0,64.4,2.1,0,0
01/01/2016,22,GSV,67.642,16.5,16.3,0,68.4,1.9,0,0
01/01/2016,23,GSV,63.406,15.6,15.6,0,72.5,1.7,0,0
01/01/2016,24,GSV,58.394,14.6,14.9,0,77,1.5,0,0
02/01/2016,1,GSV,53.127,14.8,15.1,0,76.7,1.4,0,0
02/01/2016,2,GSV,49.625,14.9,15.2,0,76.4,1.4,0,0
02/01/2016,3,GSV,47.647,15.1,15.4,0,76,1.3,0,0
02/01/2016,4,GSV,46.594,15,15.2,0,76,1.5,0,0
02/01/2016,5,GSV,46.036,14.9,15.1,0,76.1,1.8,0,0
02/01/2016,6,GSV,46.655,14.9,14.9,0,76.1,2,0,0
02/01/2016,7,GSV,48.387,15,15.1,0,77.3,1.9,0,0
02/01/2016,8,GSV,51.441,15.5,15.7,0,76.2,1.8,0,0
02/01/2016,9,GSV,54.49,15.9,17.5,0,75.8,1.7,137.3,0
02/01/2016,10,GSV,61.242,19.1,22.4,0,64.7,1.4,340.4,0
02/01/2016,11,GSV,66.239,22.2,26.9,0,55.7,1.1,512.8,0
02/01/2016,12,GSV,70.223,25.3,30.9,0,48.3,0.8,631.8,0
02/01/2016,13,GSV,71.583,26.4,32.1,0,44.8,1.2,684.1,0
02/01/2016,14,GSV,72.624,27.4,32.7,0,41.8,1.5,671.7,0
02/01/2016,15,GSV,72.595,28.3,32.6,0,39.2,1.9,593.8,0
02/01/2016,16,GSV,72.344,26.6,29.3,0,41.7,2.1,448.5,0
02/01/2016,17,GSV,71.449,24.8,25.5,0,44.5,2.2,242.2,0
02/01/2016,18,GSV,69.426,23,21.8,0,47.6,2.4,55.5,0
02/01/2016,19,GSV,70.722,20.8,19.3,0,53.5,2.5,0,0
02/01/2016,20,GSV,80.768,18.8,17.7,0,59.4,2.7,0,0
02/01/2016,21,GSV,79.01,17.1,16.4,0,65.2,2.9,0,0
02/01/2016,22,GSV,74.885,16.3,16,0,70.4,2.6,0,0
02/01/2016,23,GSV,69.676,15.5,15.5,0,76.1,2.3,0,0
02/01/2016,24,GSV,64.365,14.7,15,0,82.2,2,0,0
03/01/2016,1,GSV,58.171,14.1,14.6,0,85.7,1.9,0,0
03/01/2016,2,GSV,53.816,13.6,14.1,0,89.4,1.8,0,0
03/01/2016,3,GSV,51.376,13,13.6,0,93.2,1.7,0,0
03/01/2016,4,GSV,49.68,12.7,13.2,0,94.1,1.6,0,0
03/01/2016,5,GSV,48.63,12.3,12.8,0,95.1,1.6,0,0
03/01/2016,6,GSV,48.748,12,12.4,0,96,1.5,0,0
03/01/2016,7,GSV,50.148,12.6,13,0,92.8,1.7,0,0
03/01/2016,8,GSV,52.569,13.7,14.1,0,87,1.9,0,0
03/01/2016,9,GSV,53.844,14.6,16.3,0,82.6,2.1,140.3,0
03/01/2016,10,GSV,58.587,18.2,21.7,0,67.7,1.7,348.3,0
03/01/2016,11,GSV,63.007,21.8,26.5,0,55.9,1.3,524.4,0
03/01/2016,12,GSV,65.978,25.4,30.9,0,46.7,0.9,645.8,0
03/01/2016,13,GSV,67.153,26.9,32.5,0,41.7,0.9,698.9,0
03/01/2016,14,GSV,67.461,28.3,33.5,0,37.5,0.9,685.8,0
03/01/2016,15,GSV,67.74,29.6,33.8,0,34,0.9,606,0
03/01/2016,16,GSV,67.747,28,31,0,39.9,1.1,458,0
03/01/2016,17,GSV,66.584,26.2,27.7,0,47,1.3,247.3,0
03/01/2016,18,GSV,64.414,24.5,24.7,0,55.5,1.4,57.3,0
03/01/2016,19,GSV,66.31,22.1,22.3,0,65.2,1.7,0,0
03/01/2016,20,GSV,76.627,19.9,20.7,0,75.7,2,0,0
03/01/2016,21,GSV,76.677,18,19.1,0,86.9,2.3,0,0
03/01/2016,22,GSV,74.02,17.1,18.2,0,88.2,2.3,0,0
03/01/2016,23,GSV,68.696,16.3,17.3,0,89.6,2.2,0,0
03/01/2016,24,GSV,62.586,15.5,16.4,0,91.1,2.2,0,0
04/01/2016,1,GSV,56.505,14.9,15.8,0,93,2,0,0
04/01/2016,2,GSV,52.092,14.3,15.2,0,95,1.8,0,0
04/01/2016,3,GSV,50.179,13.7,14.6,0,97,1.5,0,0
04/01/2016,4,GSV,48.814,13.2,13.9,0,98.5,1.7,0,10.2
04/01/2016,5,GSV,48.206,12.6,13.2,0,100,1.8,0,30.7
04/01/2016,6,GSV,48.58,12.1,12.5,0,100,1.9,0,51.1
04/01/2016,7,GSV,51.352,12.7,13.4,0,100,1.8,0,57.3
04/01/2016,8,GSV,55.397,13.7,14.6,0,96.5,1.6,0,49.2
04/01/2016,9,GSV,57.577,14.6,16.9,0,93.8,1.4,128.4,41.1
04/01/2016,10,GSV,62.522,17.8,21.8,0,74.9,1.1,327.4,30.9
04/01/2016,11,GSV,67.369,21,26,0,60.1,0.8,499.7,18.5
04/01/2016,12,GSV,70.534,24.1,29.7,0,48.5,0.5,616.7,6.2
04/01/2016,13,GSV,72.387,24.4,30.2,0,50.3,1.4,668.8,0.2
04/01/2016,14,GSV,72.897,24.6,30,0,52.4,2.3,631.8,0.5
